WORD,WORDDEF
dermatologist,a doctor who specializes in the physiology and pathology of the skin
derogatory,expressive of low opinion
descant,"sing by changing register, sing by yodeling"
descry,catch sight of
desecrate,violate the sacred character of a place or language
desiccate,lose water or moisture
desideratum,something desired as a necessity
designate,design or destine
desist,choose not to consume
desolate,"leave someone who needs or counts on you, leave in the lurch"
despicable,morally reprehensible
despise,look down on with disdain
despoil,"steal goods, take as spoils"
despondent,without or almost without hope
despot,a cruel and oppressive dictator
despotism,dominance through threat of punishment and violence
destitute,poor enough to need help from others
destitution,a state without friends or money or prospects
desuetude,a state of inactivity or disuse
desultory,"marked by lack of definite plan or regularity or purpose, jumping from one thing to another"
detached,not fixed in position
detect,"discover or determine the existence, presence, or fact of"
detente,the easing of tensions or strained relations (especially between nations)
detention,a state of being confined (usually for a short time)
deter,turn away from by persuasion
detergent,a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
deterioration,process of changing to an inferior state
determinate,not continuing to grow indefinitely at the apex
deterrent,something immaterial that interferes with or delays action or progress
detest,"dislike intensely, feel antipathy or aversion towards"
detonation,the act of detonating an explosive
detract,"take away a part from, diminish"
detraction,the act of discrediting or detracting from someone's reputation (especially by slander)
detriment,a damage or loss
detrimental,(sometimes followed by `to') causing harm or injury
devastate,overwhelm or overpower
deviate,"be at variance with, be out of line with"
devious,"indirect in departing from the accepted or proper way, misleading"
devise,(law) a gift of real property by will
devitalize,sap of life or energy
devoid,completely wanting or lacking
devolve,grow worse
devotee,an ardent follower and admirer
devour,eat greedily
devout,deeply religious
dexterous,"skillful in physical movements, especially of the hands"
diabolic,showing the cunning or ingenuity or wickedness typical of a devil
diabolical,showing the cunning or ingenuity or wickedness typical of a devil
diadem,an ornamental jeweled headdress signifying sovereignty
diagnosis,identifying the nature or cause of some phenomenon
diagnostic,characteristic or indicative of a disease
diagonal,(mathematics) a set of entries in a square matrix running diagonally either from the upper left to lower right entry or running from the upper right to lower left entry
diagram,"a drawing intended to explain how something works, a drawing showing the relation between the parts"
dialect,the usage or vocabulary that is characteristic of a specific group of people
dialectic,any formal system of reasoning that arrives at the truth by the exchange of logical arguments
dialectical,of or relating to or employing dialectic
dialogue,a conversation between two persons
diameter,the length of a straight line passing through the center of a circle and connecting two points on the circumference
diaphanous,so thin as to transmit light
diaphragm,a mechanical device in a camera that controls size of aperture of the lens
diarrhea,"frequent and watery bowel movements, can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor"
diatribe,thunderous verbal attack
dichotomy,"being twofold, a classification into two opposed parts or subclasses"
dictatorship,a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
dictum,an authoritative declaration
didactic,instructive (especially excessively)
die,lose sparkle or bouquet
diffidence,lack of self-confidence
diffident,showing modest reserve
diffuse,move outward
diffusion,the spread of social institutions (and myths and skills) from one society to another
digress,wander from a direct or straight course
digression,a turning aside (of your course or attention or concern)
digressive,of superficial relevance if any
dilapidated,in deplorable condition
dilapidation,the process of becoming dilapidated
dilate,become wider
dilatory,wasting time
dilemma,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
dilettante,an amateur who engages in an activity without serious intentions and who pretends to have knowledge
diligence,a diligent effort
diligent,quietly and steadily persevering especially in detail or exactness
dilute,reduced in strength or concentration or quality or purity
diminish,"decrease in size, extent, or range"
diminution,the act of decreasing or reducing something
diminutive,a word that is formed with a suffix (such as -let or -kin) to indicate smallness
din,instill (into a person) by constant repetition
dingy,thickly covered with ingrained dirt or soot
dint,interchangeable with `means' in the expression `by means of'
diocese,the territorial jurisdiction of a bishop
dioxide,an oxide containing two atoms of oxygen in the molecule
diphthong,a vowel sound that starts near the articulatory position for one vowel and moves toward the position for another
dipsomaniac,a person who drinks alcohol to excess habitually
dire,"fraught with extreme danger, nearly hopeless"
dirge,a song or hymn of mourning composed or performed as a memorial to a dead person
disabuse,free somebody (from an erroneous belief)
disadvantage,"put at a disadvantage, hinder, harm"
disaffect,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness"
disapprobation,"an expression of strong disapproval, pronouncing as wrong or morally culpable"
disapprove,deem wrong or inappropriate
disarm,"make less hostile, win over"
disarming,act of reducing or depriving of arms
disarray,bring disorder to
disavow,"refuse to acknowledge, disclaim knowledge of, responsibility for, or association with"
disavowal,denial of any connection with or knowledge of
disband,stop functioning or cohering as a unit
disbelief,doubt about the truth of something
disburse,"expend, as from a fund"
discard,throw or cast away
discern,detect with the senses
discernible,capable of being seen or noticed
discerning,quick to understand
discharge,complete or carry out
disclaim,make a disclaimer about
disclose,make known to the public information that was previously known only to a few people or that was meant to be kept a secret
discolor,lose color or turn colorless
discombobulated,"having self-possession upset, thrown into confusion"
discomfit,cause to lose one's composure
discomfort,an uncomfortable feeling of mental painfulness or distress
disconcert,cause to lose one's composure
disconsolate,causing dejection
discontented,showing or experiencing dissatisfaction or restless longing
discordant,not in agreement or harmony
discount,a refund of some fraction of the amount paid
discourse,to consider or examine in speech or writing
discredit,damage the reputation of
discreet,unobtrusively perceptive and sympathetic
discrepancy,a difference between conflicting facts or claims or opinions
discrete,constituting a separate entity or part
discretion,knowing how to avoid embarrassment or distress
discriminate,treat differently on the basis of sex or race
discrimination,the cognitive process whereby two or more stimuli are distinguished
discursive,proceeding to a conclusion by reason or argument rather than intuition
disdain,a communication that indicates lack of respect by patronizing the recipient
disembark,go ashore
disembody,free from a body or physical form or reality
disentangle,smoothen and neaten with or as with a comb
disfavor,an inclination to withhold approval from some person or group
disfigure,mar or spoil the appearance of
disgruntle,put into a bad mood or into bad humour
dishabille,the state of being carelessly or partially dressed
dishearten,take away the enthusiasm of
disheveled,"in disarray, extremely disorderly"
disillusion,freeing from false belief or illusions
disinclination,a certain degree of unwillingness
disinclined,unwilling because of mild dislike or disapproval
disinformation,misinformation that is deliberately disseminated in order to influence or confuse rivals (foreign enemies or business competitors etc.)
disingenuous,"not straightforward or candid, giving a false appearance of frankness"
disingenuousness,the quality of being disingenuous and lacking candor
disintegrate,"lose a stored charge, magnetic flux, or current"
disinter,"dig up for reburial or for medical investigation, of dead bodies"
disinterested,unaffected by self-interest
disjointed,lacking orderly continuity
dislocate,move out of position
dislodge,change place or direction
dismal,causing dejection
dismantle,take apart into its constituent pieces
dismay,"fill with apprehension or alarm, cause to be unpleasantly surprised"
dismember,separate the limbs from the body
dismiss,bar from attention or consideration
dismount,the act of dismounting (a horse or bike etc.)
disobliging,intentionally unaccommodating
disorganize,remove the organization from
disown,cast off
disparage,express a negative opinion of
disparate,including markedly dissimilar elements
disparity,inequality or difference in some respect
dispassionate,unaffected by strong emotion or prejudice
dispatch,killing a person or animal
dispel,to cause to separate and go in different directions
disperse,separate (light) into spectral rays
dispersion,the act of dispersing or diffusing something
dispirit,"lower someone's spirits, make downhearted"
dispirited,filled with melancholy and despondency
displace,"terminate the employment of, discharge from an office or position"
displease,give displeasure to
disport,"occupy in an agreeable, entertaining or pleasant fashion"
disposed,(usually followed by `to') naturally disposed toward
disposition,an attitude of mind especially one that favors one alternative over others
dispossess,deprive of the possession of real estate
disproportionate,out of proportion
disprove,prove to be false
disputatious,"inclined or showing an inclination to dispute or disagree, even to engage in law suits"
dispute,take exception to
disqualify,make unfit or unsuitable
disquiet,a feeling of mild anxiety about possible developments
disquieting,causing mental discomfort
disquisition,an elaborate analytical or explanatory essay or discussion
disregard,refuse to acknowledge
disrepair,in need of repairs
disreputable,lacking respectability in character or behavior or appearance
disrupt,make a break in
dissect,cut open or cut apart
dissection,detailed critical analysis or examination one part at a time (as of a literary work)
dissemble,behave unnaturally or affectedly
disseminate,cause to become widely known
dissent,a difference of opinion
dissenter,a person who dissents from some established policy
dissertation,"a treatise advancing a new point of view resulting from research, usually a requirement for an advanced academic degree"
disservice,an act intended to help that turns out badly
dissident,"disagreeing, especially with a majority"
dissimilar,not similar
dissimulate,hide (feelings) from other people
dissipate,"live a life of pleasure, especially with respect to alcoholic consumption"
dissolute,unrestrained by convention or morality
dissolution,the process of going into solution
dissonance,a conflict of people's opinions or actions or characters
dissuade,turn away from by persuasion
dissuasion,"persuading not to do or believe something, talking someone out of a belief or an intended course of action"
distaff,characteristic of or peculiar to a woman
distant,located far away spatially
distaste,a feeling of intense dislike
distend,become wider
distension,the state of being stretched beyond normal dimensions
distill,"undergo condensation, change from a gaseous to a liquid state and fall in drops"
distinct,constituting a separate entity or part
distinguish,make conspicuous or noteworthy
distortion,an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
distrait,having the attention diverted especially because of anxiety
distraught,deeply agitated especially from emotion
diurnal,of or belonging to or active during the day
diva,"a distinguished female operatic singer, a female operatic star"
diverge,have no limits as a mathematical series
divergent,tending to move apart in different directions
divers,many and different
diverse,distinctly dissimilar or unlike
diversify,make (more) diverse
diversion,an attack calculated to draw enemy defense away from the point of the principal attack
diversity,the condition or result of being changeable
divert,"withdraw (money) and move into a different location, often secretly and with dishonest intentions"
divest,remove (someone's or one's own) clothes
divestiture,the sale by a company of a product line or a subsidiary or a division
divide,make a division or separation
divination,successful conjecture by unusual insight or good luck
divine,appropriate to or befitting a god
divorce,the legal dissolution of a marriage
divulge,make known to the public information that was previously known only to a few people or that was meant to be kept a secret
docile,easily handled or managed
docket,make a summary or abstract of a legal document and inscribe it in a list
doctrinaire,stubbornly insistent on theory without regard for practicality or suitability
document,a written account of ownership or obligation
doddering,mentally or physically infirm with age
doff,remove
dogged,stubbornly unyielding
doggerel,a comic verse of irregular measure
dogmatic,of or pertaining to or characteristic of a doctrine or code of beliefs accepted as authoritative
doldrums,a belt of calms and light winds between the northern and southern trade winds of the Atlantic and Pacific
doleful,filled with or evoking sadness
dolorous,showing sorrow
dolt,a person who is not very bright
domestic,of concern to or concerning the internal affairs of a nation
domicile,"(law) the residence where you have your permanent home or principal establishment and to where, whenever you are absent, you intend to return, every person is compelled to have one and only one domicile at a time"
dominant,exercising influence or control
dominate,be greater in significance than
domineer,rule or exercise power over (somebody) in a cruel and autocratic manner
dormancy,a state of quiet (but possibly temporary) inaction
dormant,lying with head on paws as if sleeping
dorsal,belonging to or on or near the back or upper surface of an animal or organ or part
dotage,"mental infirmity as a consequence of old age, sometimes shown by foolish infatuations"
doting,extravagantly or foolishly loving and indulgent
double entendre,"A phrase that has two meanings, especially where one is innocent and literal, the other risqué, bawdy, or ironic, an innuendo."
doughty,"Marked by stouthearted courage, brave."
dour,showing a brooding ill humor
douse,"cover with liquid, pour liquid onto"
dowdy,deep-dish apple dessert covered with a rich crust
downcast,directed downward
downplay,understate the importance or quality of
doze,sleep lightly or for a short period of time
draconian,of or relating to Draco or his harsh code of laws
dreary,causing dejection
dregs,sediment that has settled at the bottom of a liquid
drench,permeate or impregnate
droll,comical in an odd or whimsical manner
drollery,a comic incident or series of incidents
drone,stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
dross,worthless or dangerous material that should be removed
drought,a prolonged shortage
drowsy,half asleep
drudgery,hard monotonous routine work
dubious,open to doubt or suspicion
duckling,young duck
ductility,the malleability of something that can be drawn into threads or wires or hammered into thin sheets
duenna,a woman chaperon
dukedom,the dignity or rank or position of a duke
dulcet,pleasing to the ear
dungeon,the main tower within the walls of a medieval castle or fortress
duplicity,a fraudulent or duplicitous representation
durable,capable of withstanding wear and tear and decay
durance,imprisonment (especially for a long time)
duration,continuance in time
duress,compulsory force or threat
dusk,the time of day immediately following sunset
dutiful,willingly obedient out of a sense of duty and respect
dwindle,become smaller or lose substance
dynamic,an efficient incentive
dynamite,blow up with dynamite
dynamo,generator consisting of a coil (the armature) that rotates between the poles of an electromagnet (the field magnet) causing a current to flow in the armature
dynasty,a sequence of powerful leaders in the same family
dyspeptic,suffering from dyspepsia
earthquake,a disturbance that is extremely disruptive
earthy,of or consisting of or resembling earth
ebb,the outward flow of the tide
ebullience,overflowing with eager enjoyment or approval
ebullient,joyously unrestrained
eccentric,a person of a specified kind (usually with many eccentricities)
eccentricity,"(geometry) a ratio describing the shape of a conic section, the ratio of the distance between the foci to the length of the major axis"
ecclesiastic,of or associated with a church (especially a Christian Church)
ecclesiastical,of or associated with a church (especially a Christian Church)
eclat,brilliant or conspicuous success or effect
eclectic,selecting what seems best of various styles or ideas
eclecticism,making decisions on the basis of what seems best instead of following some single doctrine or style
eclipse,cause an eclipse of (a celestial body) by intervention
ecologist,a biologist who studies the relation between organisms and their environment
economical,"of or relating to an economy, the system of production and management of material wealth"
economy,the efficient use of resources
ecosystem,a system formed by the interaction of a community of organisms with their physical environment
ecstasy,a state of being carried away by overwhelming emotion
ecumenical,concerned with promoting unity among churches or religions
edict,a formal or authoritative proclamation
edifice,a structure that has a roof and walls and stands more or less permanently in one place
edify,make understand
educe,develop or evolve from a latent or potential state
eerie,"suggestive of the supernatural, mysterious"
efface,remove by or as if by rubbing or erasing
effectual,producing or capable of producing an intended result or having a striking effect
effeminate,having unsuitable feminine qualities
effervesce,become bubbly or frothy or foaming
effervescence,the property of giving off bubbles
effete,marked by excessive self-indulgence and moral decay
efficacious,marked by qualities giving the power to produce an intended effect
efficacy,capacity or power to produce a desired effect
effigy,a representation of a person (especially in the form of sculpture)
efflorescent,bursting into flower
effluent,that is flowing outward
effluvium,a foul-smelling outflow or vapor (especially a gaseous waste)
efflux,the process of flowing out
effortlessness,the quality of requiring little effort
effrontery,audacious (even arrogant) behavior that you have no right to
effulgence,the quality of being bright and sending out rays of light
effulgent,radiating or as if radiating light
effusion,flow under pressure
effusive,extravagantly demonstrative
egalitarian,favoring social equality
egocentric,limited to or caring only about yourself and your own needs
egoism,(ethics) the theory that the pursuit of your own welfare in the basis of morality
egotism,an exaggerated opinion of your own importance
egregious,conspicuously and outrageously bad or reprehensible
egress,come out of
ejaculate,utter impulsively
ejaculation,an abrupt emphatic exclamation expressing emotion
eject,put out or expel from a place
elaborate,"add details, as to an account or idea, clarify the meaning of and discourse in a learned way, usually in writing"
elapse,pass by
elasticity,the tendency of a body to return to its original shape after it has been stretched or compressed
elated,full of high-spirited delight
elation,"an exhilarating psychological state of pride and optimism, an absence of depression"
electorate,"the body of enfranchised citizens, those qualified to vote"
elegiacal,"elegiac, expressing sorrow."
elegy,"a mournful poem, a lament for the dead"
elicit,deduce (a principle) or construe (a meaning)
eligible,qualified for or allowed or worthy of being chosen
elite,"A group or class of persons or a member of such a group or class, enjoying superior intellectual, social, or economic status: In addition to notions of social equality there was much emphasis on the role of elites and of heroes within them”  ( Times Literary Supplement)."
elixir,hypothetical substance that the alchemists believed to be capable of changing base metals into gold
ellipsis,omission or suppression of parts of words or sentences
elliptical,characterized by extreme economy of expression or omission of superfluous elements
elocution,an expert manner of speaking involving control of voice and gesture
elongate,make long or longer by pulling and stretching
eloquence,powerful and effective language
eloquent,"expressing yourself readily, clearly, effectively"
elucidate,"make free from confusion or ambiguity, make clear"
elude,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
elusive,difficult to detect or grasp by the mind or analyze
elusory,That tends to elude
elysian,relating to heaven or paradise
emaciate,grow weak and thin or waste away physically
emaciated,very thin especially from disease or hunger or cold
emaciation,extreme leanness (usually caused by starvation or disease)
emanate,"proceed or issue forth, as from a source"
emancipate,"give equal rights to, of women and minorities"
emasculate,remove the testicles of a male animal
embargo,prevent commerce
embark,go on board
embellish,"make more attractive by adding ornament, colour, etc."
embezzlement,the fraudulent appropriation of funds or property entrusted to your care but actually owned by someone else
emblazon,decorate with colors
emblem,a visible symbol representing an abstract idea
embody,"represent, as of a character on stage"
emboss,raise in a relief
embroil,"force into some kind of situation, condition, or course of action"
embryonic,of an organism prior to birth or hatching
emend,make improvements or corrections to
emendation,"a correction by emending, a correction resulting from critical editing"
emergent,occurring unexpectedly and requiring urgent action
emeritus,a professor or minister who is retired from assigned duties
emetic,a medicine that induces nausea and vomiting
emigrate,leave one's country of residence for a new one
eminence,a protuberance on a bone especially for attachment of a muscle or ligament
eminent,"of imposing height, especially standing out above others"
emissary,someone sent on a mission to represent the interests of someone else
emit,"express audibly, utter sounds (not necessarily words)"
emollient,having a softening or soothing effect especially to the skin
emolument,compensation received by virtue of holding an office or having employment (usually in the form of wages or fees)
emotional,of or pertaining to emotion
empathy,understanding and entering into another's feelings
emphasis,special importance or significance
empirical,relying on medical quackery
employ,"put into service, make work or employ for a particular purpose or for its inherent or natural purpose"
employee,a worker who is hired to perform a job
empower,give or delegate power or authority to
empyreal,inspiring awe
emulate,"imitate the function of (another system), as by modifying the hardware or the software"
emulsion,"a light-sensitive coating on paper or film, consists of fine grains of silver bromide suspended in a gelatin"
enable,render capable or able for some task
enact,"order by virtue of superior authority, decree"
enamor,"attract, cause to be enamored"
enamored,marked by foolish or unreasoning fondness
encapsulate,enclose in a capsule or other small container
encase,"enclose in, or as if in, a case"
enchant,"attract, cause to be enamored"
encircle,form a circle around
enclave,an enclosed territory that is culturally distinct from the foreign territory that surrounds it
enclose,surround completely
encomiastic,formally expressing praise
encomium,a formal expression of praise
encompass,"include in scope, include as part of something broader, have as one's sphere or territory"
encounter,"come upon, as if by accident, meet with"
encroach,impinge or infringe upon
encroachment,entry to another's property without right or permission
encumber,hold back
encyclical,intended for wide distribution
encyclopedia,a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
endear,make attractive or lovable
endearment,the act of showing affection
endeavor,attempt by employing effort
endemic,of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality
endive,"widely cultivated herb with leaves valued as salad green, either curly serrated leaves or broad flat ones that are usually blanched"
endorse,give support or one's approval to
endow,furnish with an endowment
endowment,the capital that provides income for an institution
endue,give qualities or abilities to
energize,raise to a higher energy level
energy,a healthy capacity for vigorous activity
enervate,weaken mentally or morally
enfetter,"To bind in fetters, enchain."
enfranchise,"grant freedom to, as from slavery or servitude"
engaging,attracting or delighting
engender,call forth
engross,consume all of one's attention or time
enhance,make better or more attractive
enigma,a difficult problem
enigmatic,not clear to the understanding
enjoin,give instructions to or direct somebody to do something with authority
enlighten,"give spiritual insight to, in religion"
enlightened,having knowledge and spiritual insight
enmity,a state of deep-seated ill-will
ennui,the feeling of being bored by something tedious
enormity,the quality of being outrageous
enrapture,hold spellbound
enrich,make better or improve in quality
ensconce,fix firmly
ensemble,a group of musicians playing or singing together
enslave,"make a slave of, bring into servitude"
ensue,"issue or terminate (in a specified way, state, etc.), end"
entail,have as a logical consequence
enterprising,"marked by imagination, initiative, and readiness to undertake new projects"
enthrall,hold spellbound
entice,provoke someone to do something through (often false or exaggerated) promises or persuasion
entity,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
entomology,the branch of zoology that studies insects
entrance,the act of entering
entreat,ask for or request earnestly
entree,An alternative spelling of entrée.
entrench,occupy a trench or secured area
entrepreneur,someone who organizes a business venture and assumes the risk for it
enumerate,determine the number or amount of
enunciate,"speak, pronounce, or utter in a certain way"
envious,"showing extreme cupidity, painfully desirous of another's advantages"
environ,"extend on all sides of simultaneously, encircle"
envisage,form a mental image of something that is not present or that is not the case
envision,"picture to oneself, imagine possible"
envoy,a diplomat having less authority than an ambassador
eon,(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe
epaulet,adornment consisting of an ornamental cloth pad worn on the shoulder
ephemeral,"anything short-lived, as an insect that lives only for a day in its winged form"
epic,"very imposing or impressive, surpassing the ordinary (especially in size or scale)"
epicenter,the point on the Earth's surface directly above the focus of an earthquake
epicure,a person devoted to refined sensuous enjoyment (especially good food and drink)
epicurean,of Epicurus or epicureanism
epidemic,"(especially of medicine) of disease or anything resembling a disease, attacking or affecting many individuals in a community or a population simultaneously"
epidermis,the outer layer of the skin covering the exterior body surface of vertebrates
epigone,an inferior imitator of some distinguished writer or artist of musician
epigram,a witty saying
epigraph,a quotation at the beginning of some piece of writing
epilepsy,a disorder of the central nervous system characterized by loss of consciousness and convulsions
epileptic,of or relating to or characteristic of epilepsy
epilogue,a short speech (often in verse) addressed directly to the audience by an actor at the end of a play
epiphany,a divine manifestation
episode,a happening that is distinctive in a series of related events
episodic,"of writing or narration, divided into or composed of episodes"
epistemologist,a specialist in epistemology
epistemology,the philosophical theory of knowledge
epistle,a book of the New Testament written in the form of a letter from an Apostle
epitaph,a summary statement of commemoration for a dead person
epithet,a defamatory or abusive word or phrase
epitome,a standard or typical example
epitomize,embody the essential characteristics of or be a typical example of
epoch,(astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded
eponym,the name derived from a person (real or imaginary)
equable,not easily irritated
equanimity,steadiness of mind under stress
equestrian,a man skilled in equitation
equilibrium,a stable situation in which forces cancel one another
equine,resembling a horse
equinox,(astronomy) either of the two celestial points at which the celestial equator intersects the ecliptic
equipage,equipment and supplies of a military force
equipoise,equality of distribution
equitable,fair to all parties as dictated by reason and conscience
equitably,in an equitable manner
equity,the difference between the market value of a property and the claims held against it
equivocal,open to question
equivocate,be deliberately ambiguous or unclear in order to mislead or withhold information
eradicate,"destroy completely, as if down to the roots"
erect,cause to rise up
erode,remove soil or rock
erotic,"giving sexual pleasure, sexually arousing"
errant,uncontrolled motion that is irregular or unpredictable
erratic,having no fixed course
erroneous,containing or characterized by error
erudite,having or showing profound knowledge
erudition,profound scholarly knowledge
erupt,become active and spew forth lava and rocks
escalate,increase in extent or intensity
escapade,a wild and exciting undertaking (not necessarily lawful)
eschew,"avoid and stay away from deliberately, stay clear of"
escort,an attendant who is employed to accompany someone
escutcheon,a flat protective covering (on a door or wall etc) to prevent soiling by dirty fingers
esoteric,confined to and understandable by only an enlightened inner circle
espionage,the systematic use of spies to get military or political secrets
espouse,take in marriage
esprit de corps,the spirit of a group that makes the members want the group to succeed
essential,being or relating to or containing the essence of a plant etc
esteem,an attitude of admiration or esteem
estimable,deserving of esteem and respect
estrange,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness"
estranged,caused to be unloved
estrangement,the feeling of being alienated from other people
ethereal,of heaven or the spirit
ethics,motivation based on ideas of right and wrong
ethnic,not acknowledging the God of Christianity and Judaism and Islam
ethnology,the branch of anthropology that deals with the division of humankind into races and with their origins and distribution and distinctive characteristics
etymology,the study of the sources and development of words
eugenic,pertaining to or causing improvement in the offspring produced
eugenics,the study of methods of improving genetic qualities by selective breeding (especially as applied to human mating)
eulogistic,formally expressing praise
eulogize,praise formally and eloquently
eulogy,a formal expression of praise for someone who has died recently
euphemism,an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh
euphonious,"(of speech or dialect) pleasing in sound, not harsh or strident"
euphony,any agreeable (pleasing and harmonious) sounds
euphoria,a feeling of great (usually exaggerated) elation
euthanasia,the act of killing someone painlessly (especially someone suffering from an incurable illness)
euthenics,the study of methods of improving human well-being and efficient functioning by improving environmental conditions
eutrophic,(ecology) of a lake or other body of water rich in nutrients and subject to eutrophication
evacuate,move out of an unsafe location into safety
evanescent,tending to vanish like vapor
evangelist,a preacher of the Christian gospel
evasive,avoiding or escaping from difficulty or danger especially enemy fire
evince,give expression to
eviscerate,having been disembowelled
evocative,serving to bring to mind
evoke,call to mind
evolution,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
evolve,work out
ewer,an open vessel with a handle and a spout for pouring
ex officio,by virtue of an office or position
exacerbate,make worse
exact,take as an undesirable consequence of some event or state of affairs
exacting,requiring precise accuracy
exaction,act of demanding or levying by force or authority
exaggeration,making to seem more important than it really is
exalt,"raise in rank, character, or status"
exasperate,make furious
excavate,form by hollowing
exceed,be or do something to a greater degree
excessive,beyond normal limits
exchequer,the funds of a government or institution or individual
excise,a tax that is measured by the amount of business done (not on property or income from real estate)
excision,surgical removal of a body part or tissue
exclamation,an abrupt excited utterance
exclusive,not divided among or brought to bear on more than one object or objective
excoriate,express strong disapproval of
excruciating,extremely painful
exculpate,pronounce not guilty of criminal charges
execrable,deserving a curse
execrate,find repugnant
execute,"carry out a process or program, as on a computer or a machine"
exegesis,an explanation or critical interpretation (especially of the Bible)
exemplary,serving to warn
exemplify,be characteristic of
exempt,(of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject
exertion,"use of physical or mental energy, hard work"
exhausted,"depleted of energy, force, or strength"
exhaustive,performed comprehensively and completely
exhilarate,fill with sublime emotion
exhort,spur on or encourage especially by cheers and shouts
exhume,"dig up for reburial or for medical investigation, of dead bodies"
exigency,a sudden unforeseen crisis (usually involving danger) that requires immediate action
exigent,requiring precise accuracy
exiguous,extremely scanty
existential,relating to or dealing with existence (especially with human existence)
exodus,a journey by a large group to escape from a hostile environment
exonerate,pronounce not guilty of criminal charges
exorbitant,greatly exceeding bounds of reason or moderation
exorcise,expel through adjuration or prayers
exotic,strikingly strange or unusual
expand,"make bigger or wider in size, volume, or quantity"
expanse,the extent of a 2-dimensional surface enclosed within a boundary
expatiate,"add details, as to an account or idea, clarify the meaning of and discourse in a learned way, usually in writing"
expatriate,expel from a country
expediency,the quality of being suited to the end in view
expedient,"appropriate to a purpose, practical"
expedite,process fast and efficiently
expeditiously,"with efficiency, in an efficient manner"
expend,"use up, consume fully"
expenditure,the act of consuming something
expertise,skillfulness by virtue of possessing special knowledge
expiate,make amends for
expire,pass from physical life and lose all bodily attributes and functions necessary to sustain life
expletive,a word or phrase conveying no independent meaning but added to fill out a sentence or metrical line
explicate,make plain and comprehensible
explicit,"precisely and clearly expressed or readily observable, leaving nothing to implication"
exploit,work excessively hard
exposition,a collection of things (goods or works of art etc.) for public display
expository,serving to expound or set forth
expostulate,reason with (somebody) for the purpose of dissuasion
expostulation,the act of expressing earnest opposition or protest
expound,state
expressly,"with specific intentions, for the express purpose"
expulsion,the act of expelling or projecting or ejecting
expunge,remove by erasing or crossing out or as if by drawing a line
expurgate,edit by omitting or modifying parts considered indelicate
exquisite,delicately beautiful
extant,"still in existence, not extinct or destroyed or lost"
extemporaneous,with little or no preparation or forethought
extempore,without preparation
extensive,"of agriculture, increasing productivity by using large areas with minimal outlay and labor"
extenuate,lessen or to try to lessen the seriousness or extent of
extenuating,partially excusing or justifying
extenuation,"a partial excuse to mitigate censure, an attempt to represent an offense as less serious than it appears by showing mitigating circumstances"
exterior,the region that is outside of something
exterminate,"kill en masse, kill on a large scale, kill many"
external,happening or arising or located outside or beyond some limits or especially surface
extinct,being out or having grown cold
extinguish,"put out, as of fires, flames, or lights"
extirpate,"destroy completely, as if down to the roots"
extol,"praise, glorify, or honor"
extort,get or cause to become in a difficult or laborious manner
extracurricular,characterized by adultery
extradite,hand over to the authorities of another country
extradition,the surrender of an accused or convicted person by one state or country to another (usually under the provisions of a statute or treaty)
extramarital,characterized by adultery
extramundane,Occurring or existing outside of the physical world or universe.
extramural,carried on outside the bounds of an institution or community
extraneous,not pertinent to the matter under consideration
extraordinary,far more than usual or expected
extrapolate,estimate the value of
extrapolation,(mathematics) calculation of the value of a function outside the range of known values
extrasensory,seemingly outside normal sensory channels
extraterrestrial,a form of life assumed to exist outside the Earth or its atmosphere
extraterritorial,outside territorial limits or jurisdiction
extravagance,excessive spending
extravagant,recklessly wasteful
extremity,the outermost or farthest region or point
extricable,capable of being extricated
extricate,release from entanglement of difficulty
extrinsic,not forming an essential part of a thing or arising or originating from the outside
extrovert,being concerned with the social and physical environment
extrude,form or shape by forcing through an opening
exuberant,"unrestrained, especially with regard to feelings"
exude,make apparent by one's mood or behavior
exult,feel extreme happiness or elation
exultant,joyful and proud especially because of triumph or success
fabricate,make up something artificial or untrue
fabrication,the act of making something (a product) from raw materials
facade,"The face of a building, especially the front."
facet,a smooth surface (as of a bone or cut gemstone)
facetious,cleverly amusing in tone
facile,"arrived at without due care or effort, lacking depth"
facilitate,make easier
facsimile,send something via a facsimile machine
faction,a clique (often secret) that seeks power usually through intrigue
factious,dissenting (especially dissenting with the majority opinion)
factitious,not produced by natural forces
